2024-06-28 13:08:50 Player2 Move, Edge: (1, 3) => (1, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (0, 4) => (1, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (2, 4) => (2, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (3, 4) => (4, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (0, 0) => (0, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (4, 4) => (4, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (0, 2) => (1, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (3, 1) => (3, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (3, 0) => (3, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (0, 0) => (1, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (1, 4) => (2, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (0, 5) => (1, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (2, 3) => (3, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (0, 2) => (0, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (3, 3) => (4, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (2, 5) => (3, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (2, 0) => (3, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (5, 2) => (5, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (1, 1) => (1, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (1, 2) => (2, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (4, 4) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (4, 1) => (4, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (2, 2) => (2, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (4, 2) => (5, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (1, 0) => (2, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (3, 0) => (4, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (4, 0) => (5, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player1 Move, Edge: (5, 0) => (5, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:08:50 Player2 Move, Edge: (5, 3) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:00 Player1 Move, Edge: (5, 4) => (5, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:09:10 Player1 Move, Edge: (4, 5) => (5, 5) Player1 Score: 1, Player2 Score: 0
