2024-06-28 13:14:26 Player1 Move, Edge: (4, 2) => (4, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (1, 4) => (2, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (0, 4) => (0, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (0, 0) => (0, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (0, 2) => (1, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (3, 0) => (4, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (5, 1) => (5, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (0, 0) => (1, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (0, 1) => (0, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (4, 1) => (4, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (2, 0) => (3, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (4, 0) => (5, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (0, 4) => (1, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (1, 2) => (2, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (1, 1) => (2, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (2, 4) => (3, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (2, 2) => (3, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (1, 3) => (1, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (0, 2) => (0, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (5, 2) => (5, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (3, 0) => (3, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (1, 0) => (2, 0) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (2, 2) => (2, 3) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (2, 5) => (3, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (1, 5) => (2, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (3, 3) => (3, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (5, 0) => (5, 1) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (3, 1) => (3, 2) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (3, 5) => (4, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (4, 3) => (4, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player1 Move, Edge: (4, 4) => (5, 4) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:26 Player2 Move, Edge: (4, 4) => (4, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:35 Player1 Move, Edge: (4, 5) => (5, 5) Player1 Score: 0, Player2 Score: 0
2024-06-28 13:14:44 Player2 Move, Edge: (5, 4) => (5, 5) Player1 Score: 0, Player2 Score: 1
2024-06-28 13:14:52 Player2 Move, Edge: (3, 3) => (4, 3) Player1 Score: 0, Player2 Score: 1
2024-06-28 13:15:00 Player1 Move, Edge: (0, 5) => (1, 5) Player1 Score: 0, Player2 Score: 1
2024-06-28 13:15:07 Player2 Move, Edge: (1, 4) => (1, 5) Player1 Score: 0, Player2 Score: 2
2024-06-28 13:15:14 Player2 Move, Edge: (2, 4) => (2, 5) Player1 Score: 0, Player2 Score: 3
2024-06-28 13:15:21 Player2 Move, Edge: (3, 4) => (4, 4) Player1 Score: 0, Player2 Score: 4
2024-06-28 13:15:21 Player2 Move, Edge: (3, 4) => (3, 5) Player1 Score: 0, Player2 Score: 6
2024-06-28 13:15:28 Player2 Move, Edge: (0, 3) => (0, 4) Player1 Score: 0, Player2 Score: 6
2024-06-28 13:15:28 Player1 Move, Edge: (0, 3) => (1, 3) Player1 Score: 1, Player2 Score: 6
2024-06-28 13:15:28 Player1 Move, Edge: (1, 2) => (1, 3) Player1 Score: 2, Player2 Score: 6
2024-06-28 13:15:28 Player1 Move, Edge: (1, 3) => (2, 3) Player1 Score: 3, Player2 Score: 6
2024-06-28 13:15:28 Player1 Move, Edge: (5, 3) => (5, 4) Player1 Score: 3, Player2 Score: 6
2024-06-28 13:15:31 Player2 Move, Edge: (2, 3) => (2, 4) Player1 Score: 3, Player2 Score: 7
2024-06-28 13:15:35 Player2 Move, Edge: (2, 3) => (3, 3) Player1 Score: 3, Player2 Score: 8
2024-06-28 13:15:38 Player2 Move, Edge: (4, 3) => (5, 3) Player1 Score: 3, Player2 Score: 9
2024-06-28 13:15:41 Player2 Move, Edge: (3, 2) => (3, 3) Player1 Score: 3, Player2 Score: 10
2024-06-28 13:15:45 Player2 Move, Edge: (3, 2) => (4, 2) Player1 Score: 3, Player2 Score: 11
2024-06-28 13:15:48 Player2 Move, Edge: (3, 1) => (4, 1) Player1 Score: 3, Player2 Score: 12
